ach-gaba,ach-glut,ach-ach,gaba-glut,gaba-gaba,glut-glut
0.00036514901632500314,0.001284231304327146,0.03992395437262357,0.0016160463900375495,0.25221295702373314,0.03200624512099922
0.00035312094087600315,0.0011256771651696725,0.03863698139316514,0.001568832527127729,0.2352377738835131,0.031676679410158386
0.000335542524240212,0.0009061724283484813,0.036463443985707146,0.0018886071522252338,0.23790834973292102,0.03746983961773194
0.00030789091721181877,0.0013507162350562207,0.03858530378434677,0.0017721768238653144,0.258242002041088,0.04096696807529064
0.0003153907944329349,0.0012996859092386007,0.03848440468077085,0.0026106601957995145,0.24908744559260165,0.031073566243579404
0.00029750137363586355,0.0012875737428598183,0.04310468426766073,0.0014570887367040652,0.23893270006272965,0.03617475187830442
0.00032263010814124175,0.0010800216004320088,0.03818920930587629,0.0010703339117461039,0.24493360503392525,0.031352917929126596
0.0002860024105917464,0.00123866987110822,0.04190898086383187,0.0025389063895810806,0.24696008458895058,0.03272239606616004
0.00033254185124465056,0.000844535153775776,0.04090275899722927,0.0019294775939414405,0.24561285550998455,0.03733916407366916
0.0003584837685593876,0.0008899749011464281,0.034479073563129056,0.0009712352493646502,0.25120429773347835,0.03845801666514055
0.00025789170509399014,0.0011443918958369825,0.03725696447355027,0.0018038830957165688,0.2404213916661075,0.0373070901364348
0.0003143027245580716,0.001222187402068317,0.03741471024980733,0.001531369139721482,0.2387673999435384,0.03441525925251514
0.0003888796768319562,0.0013455630059877554,0.04090372635237759,0.0013254856169030976,0.24367995539448006,0.03259787657597876
0.0003423231523211922,0.0010525434473190043,0.037508096049128026,0.0015782983970406906,0.2352212389380531,0.03065792448564323
0.000314184525746775,0.0013728166785592407,0.03857469446025331,0.002591585346344585,0.24317312943746588,0.040524781341107874
0.00038667736872020084,0.0011253756240447279,0.03603327970944406,0.001399510171439996,0.22728420279543732,0.03610171724713426
0.00036780237045697063,0.0012073789428468603,0.03950027740350321,0.0013800128144047053,0.24319028022731726,0.032950574138791815
0.00037612974503023716,0.0007097735822272695,0.0399145761896168,0.0018603740330950748,0.25301725571034345,0.03682268401631385
0.00031595131923022415,0.0012155544213844074,0.03906140368462202,0.001843854626619438,0.24780281061788983,0.04183266932270916
0.0003713849195126147,0.0011876437543794365,0.03664737022508283,0.0016841688131563307,0.239441078050104,0.039964362988417976
0.00033056513311508715,0.0012664688928375428,0.04440181320296424,0.0007636502481863307,0.2436261251274775,0.03879562185954115
0.0003803820383456309,0.0009695880433240316,0.04022510548630846,0.0015588211415117318,0.24338766593849775,0.0319337670017741
0.0003538918417591501,0.0009460999002653021,0.03550330128576393,0.0014906091622776507,0.2376277121517697,0.04038590980480143
0.0003433311946836494,0.0009246729815065403,0.03960289145274398,0.0012640381156108706,0.23948643464570418,0.03433363910365614
0.00030660827091087277,0.001564067523480761,0.03997402557560449,0.002495591122350514,0.24290758950399305,0.040001666736114
0.0003492478748986911,0.0011890936331963233,0.03854732854253115,0.0017758776617610788,0.24313960854923142,0.04957801246078388
0.00034896924858063944,0.001215612275300427,0.037871255025723055,0.0009744372624809172,0.23366318880209794,0.03892722839786768
0.000306441668561216,0.001386615748317876,0.040047776294526806,0.0023977365367093464,0.2432316664653099,0.03307215743440234
0.00036585515318873557,0.0010441798837163311,0.03688973319982407,0.0015864621893178213,0.242474363215349,0.03751369112814896
0.00034207892374758667,0.0014419156203585878,0.044086309817812336,0.0018001515917129862,0.2440419871545132,0.02777171302563207
0.0003050723618011043,0.0012624909184025916,0.03844145580784917,0.0018471642607922282,0.2489741282833381,0.032211794598582026
0.0003420134882966561,0.0011123067064840227,0.03970228063726075,0.0019895155687488157,0.24941979080085058,0.03956272774596564
0.00028361809382890924,0.0014090571059532664,0.03826351151575706,0.0019509022923101934,0.2260535105772799,0.04025656173516752
0.00042370181802617497,0.0012000969309059577,0.03750659072880398,0.001620565291304555,0.23230731125171689,0.043484281955407836
0.0003678318983104494,0.0013761681879674694,0.0406767635958732,0.002275913251422446,0.24506330207838223,0.0441601682292123
0.0003010647107881156,0.001209532042907374,0.04209608256413984,0.0017045454545454545,0.2326599365181221,0.03269898474926383
0.0003487622572806716,0.0013614703880190605,0.03625681444686012,0.0020233812949640288,0.24289496523009657,0.0343226895484597
0.00033162909855956254,0.0011294356279316347,0.041343489271090904,0.0015908789606257456,0.24524521236409025,0.030515997780654704
0.00028821228448295844,0.0012864034304091478,0.040872910793003,0.0021726124877987345,0.23000260552371027,0.035214196589491195
0.00033705716684005667,0.0011671066473472142,0.03856495201460169,0.0014672079033599059,0.25085005193243315,0.03991189427312775
0.00037148328395370943,0.0010735874156883795,0.03744925376061503,0.00130738673505305,0.2383621108555509,0.03866728444463165
0.00030603456705706293,0.001224956125369548,0.03718970413117157,0.0026664472059912767,0.24295946341304842,0.030343897505057317
0.0002739963824009644,0.0012631234235323014,0.04158682397656188,0.0017258185653334186,0.2540795861781757,0.03552034184990653
0.0003365764535262196,0.001457983045068137,0.038141119072093776,0.0014609203798392988,0.24637189746371896,0.03757612404440029
0.0003861029175539142,0.0013317215275162996,0.03847500850889611,0.0013706006167702775,0.23479410867083386,0.03768624014022787
0.00033772396951468507,0.0012804345717334369,0.038491836855269114,0.002434946350015421,0.2405872498016048,0.0367301045267147
0.0003296389422309902,0.0011534424489890076,0.036907959776714835,0.0015442773264698786,0.2474041732693565,0.034866699197090005
0.00038941329188845906,0.0014640539338578215,0.034578928613849626,0.002804159503263174,0.24708001137452737,0.03303316119670522
0.0003689757937715845,0.001416249259869737,0.03773603148053254,0.0013479251580602715,0.2506686708371096,0.028106701366297983
0.0003726319831342959,0.001302206648356852,0.03708278194383179,0.0020782133962295272,0.23568934852776496,0.03499303621169916
0.0004182737943783485,0.0011623491851932212,0.037224801344308056,0.0012320328542094455,0.2409643993949929,0.04319869588842601
0.0003585215019091115,0.001635833445286508,0.04038244725244154,0.0015020528055008512,0.24644777685480698,0.038063015436667375
0.00039183982308657183,0.0011368733662279005,0.04007036164693956,0.0017056000535090213,0.2591590477645159,0.03336755646817248
0.00033748822438032464,0.001372578923288089,0.03796693811966152,0.0016789294355834278,0.23932755311403797,0.031994981179422836
0.000329988335982755,0.0016728135928053083,0.04073842879217364,0.001172466576560439,0.24894951192707998,0.03989727597908832
0.0003951134685777906,0.0009012791230631165,0.0389425260948343,0.0015514399301852031,0.2376676179247882,0.03811708651343362
0.0003570025407596209,0.0012309197574456837,0.04088671758286113,0.0017993844211190908,0.24888446042542134,0.0306044376434583
0.00035751997890656295,0.0014619423397365361,0.040019158649926626,0.0017760820944612552,0.22650396555107882,0.03862255232950709
0.0003006013132773449,0.0011731627294021955,0.03997293821753748,0.001984652024345065,0.24213012391212915,0.04077849860982391
