nt_pair,n_pairs,n_neurons,n_edges,density,n_components,giant_component_frac,mean_degree,max_degree,transitivity,rich_club_frac
ach-gaba,90968,52995,181936,6.478240163641223e-05,1448,0.9131616190206623,6.86615718464006,6496,0.0005375292100965318,0.4540428342296443
ach-glut,32815,28463,65630,8.101329888787268e-05,2984,0.5875346941643538,4.611601025893265,366,0.0019775841638918854,0.5808944946070337
ach-ach,18754,17578,37508,0.00012139748638328853,3715,0.3387757424052793,4.267607236318125,742,0.06223607117506226,0.6724314484014109
gaba-glut,10459,10912,20918,0.00017569170018902607,2229,0.5077895894428153,3.8339442815249267,182,0.002818992108183929,0.6238086510263929
gaba-gaba,10214,6832,20428,0.0004377172944528611,1378,0.44716042154566743,5.980093676814988,142,0.3962489482398285,0.6848653395784543
glut-glut,5144,5178,10288,0.0003837874283205726,948,0.2697952877558903,3.973735032831209,248,0.060955641559988095,0.6877172653534183
