nt_pair,original,bootstrap_mean,bootstrap_std,ci_95_low,ci_95_high,n_valid_samples
ach-gaba,0.0005375292100965318,0.00034032507946116187,3.0008192772299854e-05,0.0002829093105934717,0.0003943854746343858,1000
ach-glut,0.0019775841638918854,0.0012096766008287676,0.0001823640677453703,0.0008695985484172466,0.0015931590334207536,1000
ach-ach,0.06223607117506226,0.03866814873254774,0.0020770202061138306,0.03471570697363281,0.04298411126210306,1000
gaba-glut,0.002818992108183929,0.0017124013040323142,0.00040341808382261124,0.000963924450740505,0.002554681395633215,1000
gaba-gaba,0.3962489482398285,0.24349534808231016,0.008259535318383323,0.2279665281386168,0.25965050957198776,1000
glut-glut,0.060955641559988095,0.03632352544349065,0.004471706338678354,0.028103558925196625,0.045806409166538255,1000
