k,n_gaba,gaba_pct,expected_gaba_pct,enrichment_fold,p_value
10,10,100.0,16.162201863233985,6.1872757713465685,1.2162007511372725e-08
20,20,100.0,16.162201863233985,6.1872757713465685,1.4791442670668658e-16
30,26,86.66666666666667,16.162201863233985,5.362305668500359,3.673540975230648e-17
50,40,80.0,16.162201863233985,4.949820617077255,4.0446027553931453e-23
75,56,74.66666666666667,16.162201863233985,4.619832575938771,5.102000086134751e-29
100,69,69.0,16.162201863233985,4.269220282229132,7.471912103018996e-32
150,87,58.0,16.162201863233985,3.5886199473810096,3.283192874991689e-31
200,118,59.0,16.162201863233985,3.6504927050944755,8.630218710971058e-43
300,190,63.333333333333336,16.162201863233985,3.9186079885194935,3.495384707627716e-75
500,317,63.4,16.162201863233985,3.922732839033724,2.109792025437291e-124
