n1,n2,n1_nt,n2_nt
720575940620464321,720575940624694503,da,da
720575940626435850,720575940628988542,ach,gaba
720575940605033504,720575940617203549,glut,glut
720575940621291034,720575940653088246,gaba,ach
720575940620454497,720575940655181985,ach,gaba
720575940611324280,720575940626104648,gaba,ach
720575940617855133,720575940621280688,ach,gaba
720575940631318031,720575940643789860,gaba,ach
720575940627993682,720575940633198381,gaba,ach
720575940604403628,720575940612346547,ach,gaba
720575940635827051,720575940650233721,glut,ach
720575940614519080,720575940626639106,gaba,ach
720575940618461349,720575940625967546,ach,gaba
720575940622356980,720575940628161297,gaba,glut
720575940627519113,720575940644599240,gaba,ach
720575940620364710,720575940628684843,glut,gaba
720575940626143806,720575940629301248,ach,ach
720575940622284947,720575940631177803,glut,ach
720575940631638543,720575940632003128,glut,ach
720575940621280688,720575940624563075,gaba,ach
720575940624566535,720575940630129399,gaba,ach
720575940617756390,720575940638757860,gaba,gaba
720575940620353300,720575940633170969,gaba,glut
720575940608079573,720575940623214776,gaba,gaba
720575940612761458,720575940615970783,ach,gaba
720575940609898706,720575940628030567,glut,gaba
720575940620242000,720575940659709313,ach,gaba
720575940610716536,720575940639681907,glut,gaba
720575940622899811,720575940623257565,gaba,gaba
720575940624108070,720575940636130990,gaba,glut
720575940617058521,720575940620904869,ach,gaba
720575940621675174,720575940630176567,gaba,ach
720575940613804259,720575940626986885,ser,ach
720575940616598502,720575940634172267,ach,glut
720575940621675174,720575940626517946,ach,ach
720575940603048108,720575940623018983,ach,glut
720575940618586862,720575940640177280,ach,gaba
720575940607548629,720575940629140183,glut,ach
720575940633187155,720575940636212660,ach,ser
720575940618366843,720575940620014262,gaba,ach
720575940622356980,720575940630052293,gaba,ach
720575940617325090,720575940619509894,ach,gaba
720575940615050346,720575940615292895,ach,ach
720575940605212774,720575940639855157,gaba,glut
720575940609768345,720575940621643773,ach,ach
720575940618857083,720575940622905383,glut,ach
720575940612083057,720575940628097594,ach,gaba
720575940621301274,720575940624130964,gaba,ach
720575940615775647,720575940623129112,glut,ach
720575940623784959,720575940625590460,ach,ach
720575940620664496,720575940628137319,gaba,ach
720575940627604327,720575940634771552,glut,gaba
720575940617390429,720575940640031360,ach,gaba
720575940625175310,720575940627327938,ser,ser
720575940608719113,720575940611499986,gaba,ach
720575940620465904,720575940626624275,ach,gaba
720575940623972610,720575940634854554,ach,gaba
720575940627807994,720575940628174415,ach,glut
720575940620686964,720575940625718053,ach,ach
720575940632586404,720575940632688780,glut,gaba
720575940628874746,720575940639313990,ach,gaba
720575940615723314,720575940620320902,ach,gaba
720575940620282304,720575940631269963,gaba,gaba
720575940617881817,720575940620237550,ach,gaba
720575940615953202,720575940625768394,da,ach
720575940623398024,720575940626777602,glut,ach
720575940616494709,720575940631612044,ach,ach
720575940628609579,720575940632419468,ach,ach
720575940628377856,720575940631116306,ser,glut
720575940625135595,720575940642459021,oct,ach
720575940620625684,720575940627776252,gaba,glut
720575940630877029,720575940639313990,ach,gaba
720575940628173308,720575940636256248,ach,gaba
720575940636768734,720575940658297985,gaba,ach
720575940615970783,720575940631236772,gaba,ach
720575940624381966,720575940628029378,ach,ach
720575940628840442,720575940642860192,ach,glut
720575940619694027,720575940620794790,gaba,ach
720575940612284569,720575940637623780,ach,gaba
720575940621586782,720575940637689434,glut,ach
720575940604569824,720575940605007136,gaba,ach
720575940621292126,720575940636508517,gaba,gaba
720575940614556712,720575940618712093,gaba,glut
720575940629174889,720575940639889141,gaba,ach
720575940624783760,720575940643266340,ach,glut
720575940629039660,720575940636063204,ach,ach
720575940622518197,720575940642968717,ach,ach
720575940621402806,720575940622238964,glut,ach
720575940615303903,720575940630610425,ser,ach
720575940622925436,720575940633695736,ach,gaba
720575940621280688,720575940622803850,gaba,ach
720575940608253788,720575940628945257,ach,glut
720575940613191475,720575940634223514,gaba,ach
720575940615969330,720575940640325504,ach,gaba
720575940617265269,720575940626571592,gaba,ach
720575940612266133,720575940638057050,gaba,ach
720575940623575507,720575940627138562,ach,gaba
720575940626651338,720575940632602415,gaba,ach
720575940629214007,720575940637569870,ach,ach
720575940628383560,720575940632796719,glut,ach
720575940608661955,720575940626738565,glut,ach
720575940617678566,720575940622921827,ach,ach
720575940621144513,720575940655131553,ach,glut
720575940637013349,720575940654057889,ach,glut
720575940627731206,720575940634837660,gaba,ach
720575940616452294,720575940630787287,gaba,ach
720575940621675174,720575940627161884,gaba,ach
720575940623703576,720575940626233512,gaba,ach
720575940624111408,720575940628169219,ach,gaba
720575940613664874,720575940620904869,ach,gaba
720575940613266430,720575940628671488,ach,glut
720575940625535550,720575940630833212,ach,gaba
720575940617430356,720575940648104836,ach,gaba
720575940618014343,720575940621782604,ach,glut
720575940620861888,720575940639634776,gaba,ach
720575940626379568,720575940627800007,gaba,glut
720575940625073959,720575940629485584,glut,gaba
720575940624135242,720575940632179607,ach,gaba
720575940623688653,720575940624133453,glut,ach
720575940630407388,720575940634949311,ser,gaba
720575940616015956,720575940616243412,glut,ach
720575940620608238,720575940621280688,ach,gaba
720575940626661066,720575940650120057,gaba,ach
720575940630984443,720575940638063076,glut,gaba
720575940608922460,720575940621326104,gaba,ach
720575940625023246,720575940632623943,gaba,ach
720575940621675174,720575940626501378,gaba,ach
720575940612363925,720575940618650864,gaba,ach
720575940617889851,720575940618135124,gaba,ach
720575940621675174,720575940639678030,gaba,ach
720575940618648955,720575940635634021,ach,gaba
720575940620690804,720575940629207040,gaba,ach
720575940615989298,720575940631328453,ach,ach
720575940614457086,720575940615657631,gaba,ser
720575940618740507,720575940634178751,glut,ach
720575940628453544,720575940633545683,glut,ach
720575940625225085,720575940626917721,ach,gaba
720575940607920002,720575940630754268,glut,gaba
720575940609755342,720575940610184049,gaba,glut
720575940621212654,720575940651601910,ach,glut
720575940626499215,720575940634324450,ach,gaba
720575940621675174,720575940628585728,gaba,ach
720575940616999336,720575940632631692,ach,gaba
720575940606414978,720575940634804634,gaba,ach
720575940624408649,720575940624678581,ach,ach
720575940615976022,720575940625754128,ach,gaba
720575940621796929,720575940630833212,glut,gaba
720575940620633947,720575940630691958,ach,gaba
720575940617741339,720575940634291863,ach,gaba
720575940621462849,720575940641934069,ach,ach
720575940609259733,720575940646126190,ach,gaba
720575940619237908,720575940620315728,gaba,glut
720575940616033346,720575940627852943,ach,ach
720575940614557663,720575940638829646,ach,ach
720575940620581712,720575940621260225,ach,gaba
720575940613408278,720575940621548543,gaba,ach
720575940628426366,720575940634274017,ach,gaba
720575940629174889,720575940634953055,gaba,ach
720575940631004728,720575940637978421,ser,gaba
720575940620866036,720575940627455621,gaba,ach
720575940632750476,720575940634743999,gaba,gaba
720575940610293316,720575940635686239,ach,gaba
720575940638598982,720575940647459460,ach,ach
720575940618295454,720575940631287912,ach,gaba
720575940622518348,720575940643683744,glut,ach
720575940613132178,720575940624888880,glut,ach
720575940626637002,720575940642024437,ach,ach
720575940619100180,720575940630179781,glut,glut
720575940628154364,720575940653172726,gaba,ach
720575940621280688,720575940626887268,gaba,ach
720575940624321468,720575940636957662,ach,gaba
720575940633996183,720575940644140567,ach,ach
720575940616640571,720575940627672457,ach,gaba
720575940626086960,720575940637676870,glut,glut
720575940627761162,720575940630755276,gaba,gaba
720575940617679709,720575940629188201,ach,gaba
720575940614705583,720575940623064968,ach,glut
720575940611992270,720575940628192359,gaba,ach
720575940605288480,720575940625523248,ach,glut
720575940615296818,720575940619473624,ach,ach
720575940611475698,720575940658442625,gaba,ach
720575940626662346,720575940634607711,gaba,glut
720575940627421080,720575940629404315,gaba,ach
720575940623980329,720575940641791989,gaba,ach
720575940628083712,720575940631449411,ach,gaba
720575940635248279,720575940650466937,gaba,gaba
720575940612264817,720575940619742117,gaba,ach
720575940623203805,720575940632807193,gaba,ach
720575940605190624,720575940615395478,gaba,ach
720575940621675174,720575940623243049,gaba,ach
720575940629471447,720575940630565135,glut,glut
720575940621610572,720575940639611893,ach,ach
720575940634313071,720575940651558646,ach,glut
720575940619812801,720575940625162754,gaba,ach
720575940612771299,720575940631186084,gaba,ach
720575940621675174,720575940623876871,gaba,ach
720575940623249591,720575940623747145,gaba,gaba
720575940616766169,720575940627713284,glut,da
720575940612919219,720575940626662346,oct,gaba
720575940610799473,720575940628864364,glut,gaba
720575940613065130,720575940620991582,gaba,ach
720575940613752062,720575940644513060,gaba,ach
720575940625584484,720575940627042064,ach,ach
720575940629792732,720575940639121571,ach,ach
720575940627594568,720575940642638024,da,ach
720575940614546911,720575940621709388,glut,ach
720575940614137809,720575940626410012,gaba,ach
720575940609830851,720575940625816894,glut,glut
720575940619788865,720575940638810431,ach,glut
720575940605930929,720575940640349299,ach,gaba
720575940607377586,720575940631918649,glut,gaba
720575940623995133,720575940628528900,gaba,glut
720575940631847763,720575940642949576,glut,glut
720575940614135739,720575940637933373,ach,glut
720575940624336647,720575940625766960,gaba,ach
720575940615970783,720575940624548332,gaba,ach
720575940625118757,720575940626131528,gaba,ach
720575940620598081,720575940628047633,glut,ach
720575940617537570,720575940620437339,ach,ach
720575940631166326,720575940631751375,glut,ach
720575940625428825,720575940645639191,ach,ach
720575940612225429,720575940630841916,ach,gaba
